s,d__001,d__002,d__010
NSE:CENTRUM,,CENTRUM,CENTRUM CAPITAL
NSE:UCOBANK,uco-bank,UCOBANK,UCO BANK
NSE:UTTAMSTL,,UTTAMSTL,UTTAM GALVA STEELS
NSE:HCL_INSYS,,HCL_INSYS,HCL INFOSYSTEMS
NSE:VIKASLIFE,,VIKASLIFE,VIKAS LIFECARE LTD
NSE:AUROPHARMA,aurobindo,AUROPHARMA,AUROBINDO PHARMA
NSE:CENTRALBK,,CENTRALBK,CENTRAL BANK OF IN
NSE:GREAVESCOT,greaves-cotton,GREAVESCOT,GREAVES COTTON LTD
NSE:RELIANCE,reliance,RELIANCE,RELIANCE INDS
NSE:MERCATOR,,MERCATOR,MERCATOR LTD
NSE:NLCINDIA,,NLCINDIA,NLC INDIA LTD
NSE:INFY,infosys,INFY,INFOSYS LTD
NSE:KMSUGAR,,KMSUGAR,KM SUGAR MILLS LTD
NSE:JSWENERGY,jsw-energy,JSWENERGY,JSW ENERGY LTD
NSE:FSL,firstsource-solutions,FSL,FIRSTSOURCE SOLUTI
NSE:SAKUMA,,SAKUMA,SAKUMA EXPORTS LTD
NSE:MRPL,mangalore-ref-and-pet,MRPL,MANGALORE REF &PET
NSE:WELSPUNIND,welspun-india,WELSPUNIND,WELSPUN INDIA
NSE:MMTC,,MMTC,MMTC
NSE:RANASUG,,RANASUG,RANA SUGARS LTD
NSE:TIRUMALCHM,,TIRUMALCHM,THIRUMALAI CHEM
NSE:PFC,power-finance,PFC,POWER FINANCE CORP
NSE:WIPRO,wipro,WIPRO,WIPRO LTD
NSE:ADANIENT,adani,ADANIENT,ADANI ENTERPRISES
NSE:M_MFIN,mahindra-finance,M_MFIN,MAHINDRA &MAH FIN
NSE:RECLTD,rec,RECLTD,REC LTD
NSE:GLENMARK,glenmark,GLENMARK,GLENMARK PHARM
NSE:VIVIDHA,,VIVIDHA,VISAGAR POLYTEX
NSE:MOREPENLAB,,MOREPENLAB,MOREPEN LABORATORI
NSE:HINDPETRO,hindustan-petroleum,HINDPETRO,HINDUSTAN PETROL
NSE:BSOFT,birlasoft-india,BSOFT,BIRLASOFT (INDIA)
NSE:GIPCL,,GIPCL,GUJARAT IND POWER
NSE:PFS,,PFS,PTC INDIA FINANCIA
NSE:TECHM,mahindra-tech,TECHM,TECH MAHINDRA
NSE:TNPETRO,,TNPETRO,TAMILNADU PETRO PR
NSE:BEL,bharat-electronics,BEL,BHARAT ELECTRONICS
NSE:HCLTECH,hcl-technologies,HCLTECH,HCL TECHNOLOGIES
NSE:PATELENG,,PATELENG,PATEL ENGINEERING
NSE:CEREBRAINT,,CEREBRAINT,CEREBRA INTEGRATED
NSE:ITDCEM,,ITDCEM,ITD CEMENTATION IN
NSE:GPPL,,GPPL,GUJARAT PIPAVAV PO
NSE:DWARKESH,,DWARKESH,DWARIKESH SUGAR IN
NSE:FEL,,FEL,FUTURE ENTERPRISES
NSE:APOLLOTYRE,apollo-tyres,APOLLOTYRE,APOLLO TYRES
NSE:AXISBANK,axis-bank,AXISBANK,AXIS BANK
NSE:FILATEX,,FILATEX,FILATEX INDIA
NSE:IFCI,,IFCI,IFCI LTD
NSE:DEEPAKFERT,deepak-fertilisers-and-petrochem,DEEPAKFERT,DEEPAK FERTILISERS
NSE:NFL,,NFL,NATIONAL FERTILIZE
NSE:XCHANGING,,XCHANGING,XCHANGING SOLUTION
NSE:BFUTILITIE,,BFUTILITIE,BF UTILITIES LTD
NSE:CENTEXT,,CENTEXT,CENTURY EXTRUSIONS
NSE:CHAMBLFERT,chambal-fertilisers-and-chemical,CHAMBLFERT,CHAMBAL FERTILISER
NSE:NBVENTURES,,NBVENTURES,NAVA BHARAT VENTUR
